collective,nodes,size,dual,single,tcp,scaling_2r_over_1r
sendrecv,4,2097152,13.616666666666667,9.51,1.8966666666666665,1.432
sendrecv,4,4194304,17.18,10.51,2.07,1.635
sendrecv,4,8388608,19.05666666666667,11.256666666666666,2.1633333333333336,1.693
sendrecv,4,16777216,20.46666666666667,11.673333333333332,2.1933333333333334,1.753
sendrecv,4,33554432,21.386666666666667,11.906666666666666,2.2033333333333336,1.796
sendrecv,4,67108864,21.833333333333332,12.076666666666666,2.1933333333333334,1.808
sendrecv,4,134217728,22.05666666666667,12.083333333333334,2.186666666666667,1.825
sendrecv,4,268435456,22.146666666666665,12.146666666666667,2.1733333333333333,1.823
sendrecv,4,536870912,22.11,12.156666666666666,2.1766666666666667,1.819
sendrecv,4,1073741824,22.256666666666664,12.15,2.18,1.832
