run,host,dev,tx_bytes,rx_bytes
p1_l70_pp4_dual_prefill_in4096_out32_c8,edgexpert-7d4c,roceP2p1s0f0,6489760,6489700
p1_l70_pp4_dual_prefill_in4096_out32_c8,edgexpert-7d4c,rocep1s0f0,49701468,49701528
p1_l70_pp4_dual_prefill_in4096_out32_c8,edgexpert-8277,roceP2p1s0f0,6530128,6530192
p1_l70_pp4_dual_prefill_in4096_out32_c8,edgexpert-8277,rocep1s0f0,49284472,49275256
p1_l70_pp4_dual_prefill_in4096_out32_c8,edgexpert-82e3,roceP2p1s0f0,76940,6451756
p1_l70_pp4_dual_prefill_in4096_out32_c8,edgexpert-82e3,rocep1s0f0,1135504,48610160
p1_l70_tp2_dual_decode_in128_out1024_c1,edgexpert-7afa,roceP2p1s0f0,37137070364,37137075696
p1_l70_tp2_dual_decode_in128_out1024_c1,edgexpert-7afa,rocep1s0f0,37178428092,37178429888
p1_l70_tp2_dual_decode_in128_out1024_c1,edgexpert-7d4c,roceP2p1s0f0,0,0
p1_l70_tp2_dual_decode_in128_out1024_c1,edgexpert-7d4c,rocep1s0f0,0,0
p1_l70_tp2_dual_decode_in128_out1024_c1,edgexpert-8277,roceP2p1s0f0,0,0
p1_l70_tp2_dual_decode_in128_out1024_c1,edgexpert-8277,rocep1s0f0,0,0
p1_l70_tp2_dual_decode_in128_out1024_c1,edgexpert-82e3,roceP2p1s0f0,37137075696,37137070364
p1_l70_tp2_dual_decode_in128_out1024_c1,edgexpert-82e3,rocep1s0f0,37178429892,37178428092
p1_l70_tp2_dual_decode_in128_out1024_c32,edgexpert-7afa,roceP2p1s0f0,133996771360,133991751032
p1_l70_tp2_dual_decode_in128_out1024_c32,edgexpert-7afa,rocep1s0f0,134101174508,134095401440
p1_l70_tp2_dual_decode_in128_out1024_c32,edgexpert-7d4c,roceP2p1s0f0,0,0
p1_l70_tp2_dual_decode_in128_out1024_c32,edgexpert-7d4c,rocep1s0f0,0,0
p1_l70_tp2_dual_decode_in128_out1024_c32,edgexpert-8277,roceP2p1s0f0,0,0
p1_l70_tp2_dual_decode_in128_out1024_c32,edgexpert-8277,rocep1s0f0,0,0
p1_l70_tp2_dual_decode_in128_out1024_c32,edgexpert-82e3,roceP2p1s0f0,133991751032,133996771360
p1_l70_tp2_dual_decode_in128_out1024_c32,edgexpert-82e3,rocep1s0f0,134095401440,134101174508
p1_l70_tp2_dual_decode_in128_out1024_c8,edgexpert-7afa,roceP2p1s0f0,72908113948,72908618876
p1_l70_tp2_dual_decode_in128_out1024_c8,edgexpert-7afa,rocep1s0f0,72982201160,72982669508
p1_l70_tp2_dual_decode_in128_out1024_c8,edgexpert-7d4c,roceP2p1s0f0,0,0
p1_l70_tp2_dual_decode_in128_out1024_c8,edgexpert-7d4c,rocep1s0f0,0,0
p1_l70_tp2_dual_decode_in128_out1024_c8,edgexpert-8277,roceP2p1s0f0,0,0
p1_l70_tp2_dual_decode_in128_out1024_c8,edgexpert-8277,rocep1s0f0,0,0
p1_l70_tp2_dual_decode_in128_out1024_c8,edgexpert-82e3,roceP2p1s0f0,72908618876,72908113948
p1_l70_tp2_dual_decode_in128_out1024_c8,edgexpert-82e3,rocep1s0f0,72982669508,72982201160
p1_l70_tp2_dual_prefill_in4096_out32_c1,edgexpert-7afa,roceP2p1s0f0,5106946868,5106882020
p1_l70_tp2_dual_prefill_in4096_out32_c1,edgexpert-7afa,rocep1s0f0,5127178032,5127094520
p1_l70_tp2_dual_prefill_in4096_out32_c1,edgexpert-7d4c,roceP2p1s0f0,0,0
p1_l70_tp2_dual_prefill_in4096_out32_c1,edgexpert-7d4c,rocep1s0f0,0,0
p1_l70_tp2_dual_prefill_in4096_out32_c1,edgexpert-8277,roceP2p1s0f0,0,0
p1_l70_tp2_dual_prefill_in4096_out32_c1,edgexpert-8277,rocep1s0f0,0,0
p1_l70_tp2_dual_prefill_in4096_out32_c1,edgexpert-82e3,roceP2p1s0f0,5106882020,5106946868
