run,collective,nodes,mode,rep,transport,size,time_us,algbw,busbw
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,524288,475.83,1.1,1.1
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,1048576,1058.56,0.99,0.99
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,2097152,683.09,3.07,3.07
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,4194304,760.11,5.52,5.52
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,8388608,872.14,9.62,9.62
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,16777216,1413.48,11.87,11.87
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,33554432,2724.33,12.32,12.32
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,67108864,5554.89,12.08,12.08
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,134217728,11477.6,11.69,11.69
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,268435456,21407.5,12.54,12.54
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,536870912,39264.2,13.67,13.67
nccl_all_reduce_perf_np2_single_rep2,all_reduce,2,single,2,IB,1073741824,77684.9,13.82,13.82
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,1024,116.92,0.01,0.01
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,2048,35.32,0.06,0.06
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,4096,29.76,0.14,0.14
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,8192,40.01,0.2,0.2
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,16384,34.53,0.47,0.47
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,32768,43.7,0.75,0.75
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,65536,78.8,0.83,0.83
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,131072,79.42,1.65,1.65
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,262144,149.35,1.76,1.76
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,524288,496.26,1.06,1.06
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,1048576,1001.66,1.05,1.05
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,2097152,715.41,2.93,2.93
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,4194304,728.0,5.76,5.76
nccl_all_reduce_perf_np2_single_rep3,all_reduce,2,single,3,IB,8388608,875.1,9.59,9.59
